row_id,KQI_Degradate_Flag,E_RAB_Estab.-SR,RRC_Recon._rate,RRC_Estab.-SR,DL_PRB_avg_Utilz._rate,Maximum_num_of_users,Mean_num_of_users,UL_PRB_avg_Utilz._rate,UE_Context_DR,E_RAB_Context_DR,DL_avg_Pckt_delay,Inner_HO-SR,X2_HO-SR,RSRP_Coverage_rate,CQI_up_seven,RSSI,Avg_distance
180,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
181,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
182,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2
183,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
184,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
185,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
186,1,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2
187,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
188,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
189,1,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2
190,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
191,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
192,1,2,1,2,2,2,2,2,0,0,2,2,2,0,2,2,2
193,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
194,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
195,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
196,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
197,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
198,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
199,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1
200,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
201,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,1
202,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
203,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
204,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
205,1,0,2,2,2,2,2,2,0,0,2,1,2,0,1,2,0
206,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,2
207,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
208,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
209,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
210,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
211,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
